sym,price,adv,score,strategy,params,sharpe,maxdd,trades,held
CVNA,76.007,707017248.8399333,1.8647788496625803,atr_channel,"{'ema_window': 20, 'k': 1.5}",0.9544260905468984,-0.42078981812713456,24,False
FEC_TO,8.17,1002689.1923333334,1.8571208854158534,bollinger,"{'window': 30, 'n_std': 2.0}",0.7182835809943486,-0.17431276840977006,17,False
CSX,51.28,584369778.64995,1.8500387385500818,macd,"{'fast': 16, 'slow': 26}",0.5548409123525223,-0.25817178153439246,43,False
AXP,333.2,981887833.5713333,1.8430872339905826,bollinger,"{'window': 20, 'n_std': 1.5}",0.6642451846242088,-0.1905441838512949,30,False
SCHW,110.16,931031385.643,1.8265470995355317,atr_channel,"{'ema_window': 20, 'k': 2.5}",0.6218469986809245,-0.1634724698129798,13,False
NFI_TO,23.08,6403519.9505,1.8142435343666237,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.9984406383609592,-0.34412865305041307,10,False
EDV_TO,88.9,32211400.81333333,1.8080269544133722,bollinger,"{'window': 10, 'n_std': 1.5}",0.6437294309010899,-0.22838290346259105,47,False
GSY_TO,42.11,4606018.216666667,1.800857945655893,atr_channel,"{'ema_window': 10, 'k': 1.5}",0.7668886654617035,-0.27881776976405526,36,False
NVO,48.11,573723023.9827499,1.7646287769454407,rsi_meanrevert,"{'window': 21, 'oversold': 20}",0.914236865859873,-0.009032125628656629,1,False
FIVE,256.06,256952369.83333334,1.761943857175998,momentum_breakout,"{'entry_window': 20, 'exit_window': 20}",0.9200841021730204,-0.3287361525890904,12,False
QCOM,164.19,2839116963.7685003,1.7405642450984147,rsi_meanrevert,"{'window': 7, 'oversold': 25}",0.6667681054870723,-0.15052631578947318,21,False
SVM_TO,17.71,13766991.386333333,1.7240748636260332,bollinger,"{'window': 10, 'n_std': 2.5}",0.8359130315780355,-0.10659509078478713,11,False
BLDR,69.43,167277719.01766664,1.7205577823830844,atr_channel,"{'ema_window': 30, 'k': 3.0}",0.8987799894437547,-0.21606660657335575,10,False
NU,14.795,1054962251.3831667,1.6992919623699703,macd,"{'fast': 12, 'slow': 26}",0.7638177476539985,-0.36455664333762905,40,False
PEP,141.07,1201052263.710833,1.69174884849278,bollinger,"{'window': 10, 'n_std': 1.5}",0.33450371557614605,-0.1304455349454764,55,False
INTC,89.47,12538974399.754747,1.6740174807670793,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.6876423633574228,-0.26095026166417157,50,False
LUN_TO,38.09,88574112.13183331,1.664590744290107,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.7299283309919494,-0.3949638393358078,34,False
UNH,392.95,2313765753.0818334,1.6563341908618552,bollinger,"{'window': 30, 'n_std': 2.5}",0.9516984353246608,-0.18713890123414578,16,False
RCI_B_TO,50.85,101928020.52783333,1.6429927652289762,atr_channel,"{'ema_window': 20, 'k': 2.0}",0.5716342530187848,-0.1787131898057588,18,False
TMO,622.18,1118800276.2163332,1.628923914262863,bollinger,"{'window': 10, 'n_std': 1.5}",0.5613028910718062,-0.23609420908413803,51,False
EDR_TO,15.23,10800708.646499997,1.606416505286101,rsi_meanrevert,"{'window': 14, 'oversold': 30}",0.8405158483436422,-0.2056883484693769,10,False
NIO,4.445,129651575.77416666,1.5974005119024208,bollinger,"{'window': 10, 'n_std': 2.5}",0.8807707055688423,-0.03125078968572248,3,False
ERO_TO,53.99,18208714.639166664,1.5957399471848397,bollinger,"{'window': 30, 'n_std': 2.5}",0.9177235066603312,-0.11175115207373243,8,False
CL,90.75,432876115.02016664,1.588077703003472,momentum_breakout,"{'entry_window': 40, 'exit_window': 20}",0.4324686338204287,-0.13493082815118074,10,False
MX_TO,80.2,19460069.6335,1.580634676354607,atr_channel,"{'ema_window': 30, 'k': 2.5}",0.815577182165363,-0.26940903419252504,15,False
SGY_TO,11.02,7353133.093833333,1.5789886089956884,rsi_meanrevert,"{'window': 21, 'oversold': 35}",0.9412702511321693,-0.16296296296296253,9,False
HOOD,111.1,2511049791.067416,1.563230435119045,ts_momentum,"{'lookback': 126, 'threshold': 0.0}",0.9932814231812669,-0.4848304232684124,23,False
AP_UN_TO,8.87,5683894.0446666675,1.5391131446781907,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.5596630762316668,-0.17879713500350436,20,False
U,45.3,325908237.81333333,1.5351697977516432,atr_channel,"{'ema_window': 20, 'k': 1.5}",0.6358110567149525,-0.27861478389361205,25,False
KMP_UN_TO,18.3,5754492.493333333,1.5350082689485078,ema_crossover,"{'fast': 10, 'slow': 50}",0.38192114201217675,-0.17514849663093313,13,False
KRE,74.285,1015486118.7269168,1.5262417988366905,bollinger,"{'window': 30, 'n_std': 1.5}",0.553958848299151,-0.17800904487440194,24,False
IMG_TO,29.86,40552722.01133333,1.5068470242720293,momentum_breakout,"{'entry_window': 40, 'exit_window': 10}",0.8996783670592536,-0.29327418330356414,15,False
USB,62.47,505423173.3411667,1.4922493479839547,macd,"{'fast': 12, 'slow': 21}",0.6716678092259447,-0.3829175779029256,51,False
WING,114.5,169052020.92366666,1.4829031108281103,bollinger,"{'window': 10, 'n_std': 2.5}",0.6441795344393917,-0.11152976639035461,9,False
KXS_TO,176.66,15315879.495833335,1.4689618908480495,bollinger,"{'window': 10, 'n_std': 2.5}",0.6776563955149323,-0.08128738317015005,7,False
DHR,216.07,931400255.4543334,1.4591952287334633,rsi_meanrevert,"{'window': 14, 'oversold': 30}",0.5231924379308402,-0.09595973177644024,9,False
UUUU,15.91,120773693.705,1.4564840767787446,macd,"{'fast': 12, 'slow': 21}",0.7718128209874795,-0.5605974723442515,48,False
XRT,87.62,401102476.09616673,1.4534930983171814,rsi_meanrevert,"{'window': 14, 'oversold': 35}",0.5536796586664369,-0.14806642015937155,19,False
GOLD,43.16,17687080.815666664,1.4480965278596898,bollinger,"{'window': 30, 'n_std': 1.5}",0.5205944672805167,-0.21342660612059294,23,False
NEM,122.63,877107950.9864166,1.4441654426407105,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.7766645488295844,-0.34194282740043447,19,False
FM_TO,47.95,116438152.121,1.4308612428463836,bollinger,"{'window': 15, 'n_std': 2.5}",0.9530987480473687,-0.21890288245055334,15,False
WULF,16.1291,682009813.9985634,1.4276153619292036,ts_momentum,"{'lookback': 63, 'threshold': 0.0}",0.9348567081316884,-0.7047479290043627,24,False
DLO,15.325,36065497.29641667,1.4136655301644203,bollinger,"{'window': 30, 'n_std': 2.0}",0.6710496283294083,-0.24892714313524855,24,False
ETSY,84.66,229257237.71183336,1.4075195113358026,bollinger,"{'window': 10, 'n_std': 2.0}",0.7245941615261684,-0.31615434221800043,34,False
CELH,35.2659,298230540.49337,1.4045140648377423,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.6939931153322694,-0.33400721667013933,38,False
DOO_TO,86.04,22893906.611500002,1.3382192594657776,rsi_meanrevert,"{'window': 14, 'oversold': 25}",0.9568219366361367,-0.06776958736358052,3,False
NOW,144.71,2497999957.8430004,1.3372690701689733,bollinger,"{'window': 20, 'n_std': 2.5}",0.7011601103240882,-0.1625406265126893,14,False
JD,29.17,244546450.93258333,1.3309499070877975,bollinger,"{'window': 20, 'n_std': 2.5}",0.7365141668166166,-0.18311916035186238,10,False
ABX_TO,63.54,255844043.64650002,1.3307974472871444,bollinger,"{'window': 30, 'n_std': 1.5}",0.46161862930477604,-0.19345042988058803,30,False
CRM,256.0,2740189724.661166,1.3305865329339466,rsi_meanrevert,"{'window': 7, 'oversold': 35}",0.6524581569014429,-0.26914385834427745,43,False
SHOP_TO,212.42,378345237.41150004,1.3218989200739504,ema_crossover,"{'fast': 20, 'slow': 100}",0.7434051013002286,-0.32202017208483813,8,False
