sym,price,adv,vol,bars
HIVE_TO,4.02,18608908.641,1.02457578651068,1250
WDO_TO,34.74,18412929.376,0.6605863070273338,1504
SES_TO,24.86,16799325.163166665,0.24293742638492832,415
BEP_UN_TO,44.07,16272978.597166665,0.26429701971145503,1495
VET_TO,17.36,16159665.752833335,0.5026934803898919,1505
TPZ_TO,31.79,15668122.248666666,0.22679712936498625,1470
EFR_TO,22.54,15112474.502000002,0.7912899996231657,503
REI_UN_TO,20.94,14208570.384499999,0.14925114047573032,1505
CAR_UN_TO,33.33,14155441.205,0.18467337082944785,1505
PSK_TO,36.19,13824606.1465,0.21893810150982781,1505
SVM_TO,17.71,13766991.386333333,0.735967315138878,1505
DML_TO,5.18,13703320.431333331,0.6127115134112254,1254
HND_TO,24.68,13200600.222000001,0.6455072649869539,500
WEAT,25.5699,11928906.419533333,0.24073718136228103,1254
CJ_TO,11.94,11148601.1295,0.3449572869760731,1254
EDR_TO,15.23,10800708.646499997,0.7731924376655072,1254
FVI_TO,17.03,10176861.275833333,0.5614970723601559,545
DNA,7.285,10124498.554833334,0.8919910313931658,1240
FRU_TO,17.84,9877802.012666667,0.18744516306678974,1505
LSPD_TO,14.74,9366091.168499999,0.4660165742959545,1505
SRU_UN_TO,27.8,9219626.552666666,0.11882272036191803,1505
HR_UN_TO,10.11,9080121.301166667,0.25463383533414585,1254
AAV_TO,11.14,8906793.563499998,0.25693771472891197,1504
SDE_TO,12.95,8609958.584333336,0.46108183623798527,801
BIR_TO,6.33,7657797.187166667,0.3040909502622827,1504
HWX_TO,14.18,7597828.922666667,0.336013475123136,1254
SGY_TO,11.02,7353133.093833333,0.40134484759130085,1254
IQ,1.005,7261219.6015,0.5473306694264927,1254
DIR_UN_TO,13.86,7257299.622,0.2138921906901132,1254
XEI_TO,39.7,7134655.909333332,0.07702194993390736,1505
POU_TO,31.31,6919499.441333334,0.3546814733192811,1505
NG_TO,13.63,6650515.522666668,0.8128838824710186,1254
MFI_TO,26.78,6434937.253666667,0.23324034073117625,1505
NFI_TO,23.08,6403519.9505,0.2828457836851888,1254
CORN,19.53,6395136.507333333,0.20170670058194512,1254
WELL_TO,4.53,6331750.2793333335,0.3559724092617093,1254
LIF_TO,26.67,6032826.436666666,0.20998306621417948,1505
KMP_UN_TO,18.3,5754492.493333333,0.1681051051331734,1505
AP_UN_TO,8.87,5683894.0446666675,0.2712886475138394,1505
KEL_TO,10.73,5485110.219666665,0.3756646551570027,1505
ZWB_TO,30.29,5429727.904500001,0.17087705686379293,1505
BHC_TO,9.22,5286504.076833334,0.8130993276186259,1254
GEVO,1.7,5163291.192500001,0.6814114745390704,1254
OBE_TO,15.85,4850589.664,0.7065995494597912,1505
PRL_TO,24.9,4832711.7129999995,0.46766740391427747,1219
GSY_TO,42.11,4606018.216666667,0.5469944451579212,1505
XRE_TO,16.19,4354928.0725,0.11556798359806314,1504
IPCO_TO,34.95,4345564.910666667,0.4059609451043947,1254
PET_TO,18.64,4310336.182666668,0.3249877701862933,1298
ZJG_TO,28.41,4289492.319833333,0.5605495202505919,1331
SPB_TO,7.19,4289278.402833334,0.2967270325341395,1505
SLS_TO,12.34,4200343.4565,0.6554138959301893,1254
CRT_UN_TO,17.71,4158947.412666666,0.13768274605249692,1254
CGL_TO,33.76,3872767.922666667,0.2827115212115105,1505
CHPT,5.85,3772138.070833334,0.898844501858341,1254
TOY_TO,20.25,3584804.959166667,0.3465205126387603,1505
MTY_TO,36.24,3505350.278833334,0.33308132040878374,1254
TLRY_TO,6.37,3288085.7398333335,0.47383350581477895,1335
ZGD_TO,34.89,3282540.3321666666,0.5542773498062292,1373
XBM_TO,39.56,3118441.0985,0.45789041716542883,1504
CRR_UN_TO,16.35,2989362.7601666665,0.1436787713838849,1505
ENGH_TO,17.23,2743278.919333333,0.30646035680047035,1505
AFN_TO,12.98,2315488.647666667,0.6286355854826593,1254
PSNY,12.12,2252751.481333333,0.661493726280865,1047
GOOS_TO,11.48,2123466.062166666,0.319604674157759,1254
BTCC_TO,13.78,2112572.8886666666,0.4178689612304514,1254
ACB_TO,5.62,2103047.015166667,0.6448240034272623,1254
CEW_TO,34.65,2035476.2251666668,0.1546723039149292,1503
SVR_TO,31.1,2022478.5218333332,0.46526997558221994,1484
ZWC_TO,22.75,2012247.5021666668,0.07681257413499366,1505
DCBO_TO,35.67,1736814.3048333335,0.4800349098778992,1505
UDN,18.33,1534339.5284333336,0.05137706802724911,1254
LU,1.345,1464702.6900000002,0.5685175683407381,1254
TF_TO,5.97,1293964.8814999997,0.16067867944405145,1505
FIE_TO,11.18,1256729.564,0.10077050565984898,1505
ZUT_TO,28.44,1254065.3861666666,0.1177324282929715,1505
FEC_TO,8.17,1002689.1923333334,1.0272576504363595,1254
