asset_class,sym,strategy,sweep_param,sweep_value,fixed_kwargs,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds
equity,ENB.TO,bollinger,n_std,1.5,window=20,3.7421338870971406,1.936426149164507,0.0176660800860291,-0.07510326699211434,23,0.7391304347826086,10
equity,ENB.TO,bollinger,n_std,2.0,window=20,4.96290186514423,1.4379670077953872,0.02984351545422943,-0.07510326699211411,19,0.8421052631578947,10
equity,ENB.TO,bollinger,n_std,2.5,window=20,-0.7222575726738875,-0.5938821651581748,0.016569032233310087,-0.07510326699211423,8,0.75,10
equity,ENB.TO,bollinger,n_std,3.0,window=20,0.0,0.0,6.243221035358015e-05,-0.0007745934656123721,0,0.0,10
equity,ENB.TO,bollinger,n_std,3.5,window=20,0.0,0.0,6.243221035358015e-05,-0.0007745934656123721,0,0.0,10
equity,ENB.TO,rsi_meanrevert,oversold,20.0,window=14,0.0,0.0,0.002838113135746201,-0.0007745934656123721,1,1.0,10
equity,ENB.TO,rsi_meanrevert,oversold,25.0,window=14,0.0,0.0,0.006449336559095009,-0.0007745934656123721,2,1.0,10
equity,ENB.TO,rsi_meanrevert,oversold,30.0,window=14,0.8243122255547484,0.32283525420325626,0.026567580682334623,-0.07510326699211411,9,0.8888888888888888,10
equity,ENB.TO,rsi_meanrevert,oversold,35.0,window=14,3.6650870238734385,0.45238699732137855,0.030195101929112733,-0.07510326699211411,16,0.9375,10
equity,ENB.TO,zscore_ou,entry_z,0.5,window=20,3.169444812545343,0.0,-0.011769837611521694,-0.10087288284116769,25,0.52,10
equity,ENB.TO,zscore_ou,entry_z,1.0,window=20,5.185873199528975,10.237120717493132,0.009063069043002369,-0.08850910588917626,24,0.6666666666666666,10
equity,ENB.TO,zscore_ou,entry_z,1.5,window=20,3.7892071500435116,1.839254127022437,0.018218982194748833,-0.07510326699211434,21,0.8571428571428571,10
equity,ENB.TO,zscore_ou,entry_z,2.0,window=20,4.966249074692618,1.4030311293028084,0.02996089189822665,-0.07510326699211411,18,0.9444444444444444,10
equity,ENB.TO,zscore_ou,entry_z,2.5,window=20,-0.7001567930763535,-0.5786493465090123,0.017327194292646907,-0.07510326699211423,7,1.0,10
